,A02l_A1R,MN_A1R,A02l_A2R,MN_A2R,A02l_A3R,MN_A3R,A02l_A4R,MN_A4R,A02l_A5R,MN_A5R,A02l_A6R,MN_A6R,A02l_A7R,MN_A7R,A02l_A1L,MN_A1L,A02l_A2L,MN_A2L,A02l_A3L,MN_A3L,A02l_A4L,MN_A4L,A02l_A5L,MN_A5L,A02l_A6L,MN_A6L,A02l_A7L,MN_A7L,time_MN,time_A02l
0,-0.04764679547389303,-0.08507261056115822,0.01977430202064841,-0.055418771277105004,0.039343111937757407,-0.09215829575386646,0.03907876092370386,-0.05995283773879514,0.0345182023518999,-0.09631627883297189,0.03622008965986881,-0.16689697953908783,-0.10980078623756989,-0.14303233639592886,0.00933138241062354,-0.04851609237920221,0.039763951818537334,-0.042965342313356504,0.05039741106936251,-0.05337790833106596,0.016118993102126253,-0.01943101152808853,0.061462732146979254,-0.06095090385501047,0.003063184658446817,-0.10038471146853628,-0.060312724694820886,-0.09220206118522432,0.0,0.06524025
1,-0.04780375190716614,-0.06688174423621414,0.1747796452605592,-0.05743173677150714,0.01530776005019568,-0.028390849484768232,0.14115120971765865,-0.06235644417598732,0.04785681565928221,-0.06852589991020774,-0.027688463372046033,-0.14823953769722056,-0.17226482855694172,-0.13468896808917685,-0.033206410698483894,-0.03540973220153491,0.008128676419016937,-0.03618888918770179,0.07911218766639555,-0.08027515649931682,0.12057057183256191,-0.056973313690229725,-0.018369266358196468,-0.033025249629530434,-0.12214202892670324,-0.08226247900019144,-0.09796408860661926,-0.11380951934779039,0.1304805,0.19572075
2,-0.09898481535315021,-0.05857269219578605,0.19840047010579454,-0.060547448234316605,0.05477024038004554,-0.06481525520836656,0.13050311407702006,-0.050616605516297035,-0.04289956834011075,-0.060039893574634545,0.018426424407206207,-0.16845527520492912,-0.06238759688450175,-0.13353507745924365,0.10017803802587982,-0.08031625558124648,-0.007811819801070473,-0.06389473719973875,0.08646911684266775,-0.07629300968952517,0.05727113352006502,-0.0353272415722277,-0.020212758109852753,-0.05596816202883531,-0.12334712803092912,-0.11006095293124672,-0.04748679708646819,-0.10172053915772353,0.260961,0.32620125
3,-0.08146384598434073,-0.060859056023359136,0.06531613215687733,-0.07654580170748,-0.09941915842402019,-0.04961211261685563,0.11414558782320836,-0.10268948185866954,0.020832654646286766,-0.07086700582953329,-0.03207293760737055,-0.1533184307642898,-0.08543810281844642,-0.15253160410767289,0.021561025785512326,-0.0578005932049904,0.02014662610502544,-0.07548699649970034,0.04501167513899907,-0.09492324635371426,0.03600644437352041,-0.03512273791430779,-0.015627796689021138,-0.05175043334819094,-0.04141206324559247,-0.07904074481355043,0.0018663523371775558,-0.10806990022186869,0.3914415,0.45668175
4,-0.05514371328636576,-0.05400968947582109,-0.003330902304617675,-0.10410845547959593,0.044065589576463324,-0.07491118155457663,0.13367418807164447,-0.10725311516887918,0.09193392664029805,-0.04713783678822883,0.040134520874573455,-0.17313195700325257,-0.03872052699950358,-0.14294105915269117,-0.07078915284796575,-0.08250845349749146,-0.12726493497299765,-0.060785461784808585,-0.008460723920357866,-0.06083173429150668,0.06390342552277449,-0.047087776475306146,-0.04464107367080678,-0.09507458310802921,-0.08371686370418426,-0.07592021812661941,-0.005110853862014257,-0.14215244656060502,0.521922,0.58716225
5,-0.04318581743643542,-0.0912083924069687,0.17759015620673876,-0.07724482036112487,0.048567413632560806,-0.11675539146633403,0.07017515581751395,-0.0938582919625583,-0.07334602311482899,-0.08649907791184212,-0.02421844593309094,-0.15055796447023853,-0.07401795332953147,-0.15465625825175414,-0.08353903885607773,-0.035567253757433165,-0.02109684756476527,-0.0695849194968011,0.011288942156693405,-0.06805768757762098,0.0507316187829264,-0.059929692897438415,-0.04376254699253275,-0.07301872972398243,-0.21541509458968683,-0.12444359433245732,-0.09366766067099544,-0.12784413728170035,0.6524025,0.71764275
6,-0.0620906109873299,-0.076263320499109,0.08285764221366808,-0.09617131056738393,0.009497589601666573,-0.10709916076906098,0.11575591229032847,-0.10111846019087216,0.032362950954992316,-0.08762664350880404,-0.021034797587105664,-0.17290322698780242,-0.0889165196629295,-0.18257021500057719,-0.11020086535687701,-0.10267392603033594,-0.10462238827791022,-0.07798164943369042,-0.03380973712610293,-0.10285987359926016,0.041911981906262996,-0.05074058686445906,-0.0052512601064849005,-0.07644868614187221,-0.12328610219390529,-0.12058863137751964,-0.06276827298753959,-0.13490848979078945,0.782883,0.84812325
7,-0.1142042459160552,-0.06058248003576111,0.10752233787348868,-0.07841517885777331,0.012366753203152081,-0.07945412233759785,0.11390898672815976,-0.09870499918117279,0.02177028980651909,-0.07694821616868687,-0.015615228147212888,-0.16822700372886154,-0.0744233886952817,-0.18140674839361076,-0.02150356695308281,-0.08776055527824407,0.05350495587796122,-0.08404882869046829,0.0681981862377179,-0.0943483748817608,0.05376055224916282,-0.012998997518845973,-0.06082362947124133,-0.06799311909563965,-0.06597427527616939,-0.1180886208038654,-0.024833354657649197,-0.10410554272043633,0.9133635,0.97860375
8,-0.2031126529923598,-0.05663662665722051,0.12498726895166612,-0.08353616796820168,0.06388923922706541,-0.08144419514766298,0.1334782024268032,-0.08555813709042015,-0.004600447946713695,-0.10086440799956331,0.037628101870113353,-0.21260826616631467,-0.06855873474705515,-0.15879877277227972,-0.027202502293446798,-0.09724088937151576,0.014213348951043288,-0.07247435256029737,0.027968237258305464,-0.08629266315596931,0.038606833559851526,-0.057920303410307704,0.10596983841123522,-0.04901141368743931,-0.05688121841252806,-0.10846262915224054,-0.09029546385959984,-0.15491961420140327,1.043844,1.10908425
9,-0.09740764345011974,-0.09759852063198442,0.22332503784604488,-0.08450964884892381,-0.018862138998905906,-0.08595636252058238,0.23009658009529496,-0.11928228886943283,0.010935310684017666,-0.07902592946788128,0.015647935144608178,-0.1338881228673507,-0.09440279303159962,-0.15920124600144708,-0.02217576919824321,-0.08010930390086239,0.024834437933437002,-0.07371273856192219,-0.022528303519245826,-0.07504680152486269,-0.05517061719626342,-0.02177871170669105,0.05287343789200665,-0.04278245983869184,-0.06610050301194643,-0.11114522977594081,-0.12184456180172717,-0.13365617998345553,1.1743245,1.23956475
10,-0.026618136103442987,-0.06344938696777093,0.07699288370499342,-0.10105045760070583,0.03809153898047749,-0.03914091945684653,0.16079062392486956,-0.06985870032109356,0.00145765129795133,-0.06653760103529481,-0.03628053272644802,-0.17813427997492814,-0.14804878526238832,-0.14970182244306132,-0.028949388691821835,-0.07651973610391777,-0.014065787809153437,-0.06335925947207341,0.03875630604638161,-0.08606653027155846,0.0758126481217228,-0.07197999679945334,-0.020756724141453128,-0.06905240655239586,-0.0165609145379892,-0.11710176323016087,-0.038002391327260986,-0.14740508598472482,1.304805,1.37004525
11,-0.0221574330523999,-0.06969176222032313,0.24867243937820574,-0.1059398405363496,-0.0029665075925726686,-0.07162809738879077,0.18988637526219573,-0.08530757994620616,-0.022947556454937162,-0.07779299462696306,-0.010743193297235812,-0.16026383341175598,-0.15040056628976245,-0.177462840802808,-0.06916495243540843,-0.04696142941363002,-0.010256583687173706,-0.08387431028016029,0.028189354457593834,-0.08881094629838159,-0.02756601098056375,-0.033257046256099994,-0.0002898161900389887,-0.0651551241737033,-0.045648980200787746,-0.1165114866432645,-0.03626960617554356,-0.12415144434463485,1.4352855,1.50052575
12,-0.046407734409523976,-0.05756446109937026,0.17608940427136094,-0.07107059967856796,0.013120442413943929,-0.07257853439859334,0.17671921355934056,-0.11209237257640199,-0.08157356115634407,-0.08000238462357907,-0.0658581538907206,-0.15837023494651833,-0.28019950029693946,-0.15233013167421003,0.03016993864500108,-0.07682037137421491,0.0635135655011991,-0.06178741727649905,0.13516077632530105,-0.08273167609001326,0.04772430971738724,-0.05482865178061594,0.02951791173477765,-0.037921811785819555,-0.1230603908694421,-0.11301243321692575,-0.21554196067504475,-0.12453576989673461,1.565766,1.63100625
13,0.049882112595454664,-0.07629640107800652,0.23477283206414057,-0.10054783512986055,0.13457373535360106,-0.07688585272668232,0.11354594791358397,-0.08180858354094894,-0.049784740072992335,-0.08266901064900643,-0.1390015788816645,-0.15409418232480426,-0.4316036899733282,-0.1719303588719672,0.14913344068741077,-0.0843609314547329,0.08149596860695141,-0.08570535992787479,0.14209773945915982,-0.05785852932454946,0.02484552756209569,-0.0027096692750910225,-0.0416272445362796,-0.09337901404205419,-0.10972053336465597,-0.10122149065641287,-0.2941158029916459,-0.11043700942419346,1.6962465,1.76148675
14,0.18063198077281192,-0.06288339593882633,0.2844560148380652,-0.11993789715116261,0.1745152209372577,-0.06126199563255247,0.19787301901701257,-0.1181728245887268,-0.055809021074141374,-0.0596571201893033,-0.1881477161260122,-0.16527845180867007,-0.4741353636612301,-0.12219319757721413,0.4033452817730084,-0.05229650823786151,0.14405075256120486,-0.0754514126811994,0.10699947293195576,-0.07060423404590764,0.11256903952506912,-0.078091235250468,-0.04192423350673904,-0.03055733255782329,-0.08513340400742497,-0.07518579760490149,-0.35475367316876544,-0.11977579661951196,1.826727,1.89196725
15,0.05014652557392553,-0.1425555947587635,0.22095818249755572,-0.09024861467924296,0.158722146667903,-0.12337092463521969,0.19192113272723665,-0.13101549894649972,-0.05023344690506058,-0.14061620541994127,-0.04199080651956287,-0.19767355151704472,-0.5469113380435963,-0.1643601733685365,0.42046923673166575,-0.060442877944496154,0.14126975101557704,-0.059959091360189426,0.16246059107727354,-0.06932454296148563,0.06571679217251922,-0.029823353672913642,-0.04596030973263978,-0.06456262212183085,-0.1407838464564939,-0.12207429997516454,-0.40621192289006935,-0.09091523764010649,1.9572075,2.02244775
16,0.28536002749175765,-0.07431433139765312,0.33434205321344596,-0.10873083425273028,0.09010636296144708,-0.07043334706793222,0.26012808750559463,-0.1093764400021247,-0.05962371031139774,-0.09544778170462283,-0.13072676415707468,-0.18477716324505591,-0.5943546805323143,-0.11466531679911486,0.5500538642937919,-0.09016734170470404,0.15816875951186532,-0.06715996000392756,0.15858691470598102,-0.055997843823064754,0.20516299774839825,-0.05507680293651452,0.060698977895524635,-0.07805781811707586,-0.08507531698248694,-0.12363181590261138,-0.4983430579436887,-0.10845365943559476,2.087688,2.15292825
17,0.369593611071034,-0.08524872392020558,0.24773737921287237,-0.08804759033978862,0.07915544812004276,-0.06730322507320037,0.24564575789737392,-0.061743227531889454,0.007831045861814812,-0.08732544363476862,-0.1548168870390731,-0.18294558435729724,-0.5917929554573629,-0.05445196781667148,0.5536550651945639,-0.08606967402948267,0.22815259456286713,-0.09541607933186252,0.23010927468117248,-0.08092493497961757,0.12115418418548274,-0.04493066108451372,-0.004790414113376883,-0.10159970608589723,-0.20893855906566833,-0.12190980620278742,-0.5293721826663114,-0.09841558066009616,2.2181685,2.28340875
18,0.3163574167608328,-0.08700077540308256,0.3003543427666153,-0.10336970689865294,0.12295839968253976,-0.09059835006268306,0.24904259822185795,-0.10143630452964576,0.0020408558205807044,-0.0901280977441539,-0.12294218775450018,-0.1632266752601783,-0.6351130407907501,-0.02903527653417677,0.6706229943249078,-0.10491356293801676,0.15459951239835185,-0.08236268430536138,0.21103544457854115,-0.0746908283985587,0.14961474714971496,-0.003074438190706698,-0.034887717772146734,-0.0361527823461321,-0.19765261341735751,-0.07246368094660123,-0.5324635334439717,-0.035198494231199286,2.348649,2.41388925
19,0.3565958402806357,-0.11764130972973853,0.36169543089394807,-0.09746560152512218,0.28380322614757814,-0.10813220862237803,0.3106484717127869,-0.11395132440562519,-0.06247163869798692,-0.085536980869417,-0.16126686376830737,-0.1435695746093487,-0.6572598044369798,-0.01801158543775207,0.5895245544423684,-0.08554464457956203,0.14619289509936179,-0.07437657714801785,0.1661799868757097,-0.10236891187749765,0.15821191489294473,-0.07483643281444115,0.033347060508772924,-0.037923170379063606,-0.2186166319524462,-0.10437274129659024,-0.5826619020989415,-0.05439371880928776,2.4791295,2.54436975
20,0.22101110502844223,-0.09039126279810507,0.29622999915436365,-0.10419938466802418,0.1387855219269245,-0.09288302512914283,0.12882775636869778,-0.1024106792975999,-0.05853472755675259,-0.06351755219793118,-0.23484370936693266,-0.12192890942704739,-0.6497287350551126,0.03125982862664918,0.7641192780200062,-0.07427587728039178,0.17241934627464792,-0.1068579786847252,0.18340039126310256,-0.07736310650776022,0.1652707837199351,-0.045048610475477084,0.042847174092930096,-0.009985065565288482,-0.24236816579266116,-0.05232876533854566,-0.579940442969297,-0.06095856446362869,2.60961,2.67485025
