,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
19,242.68235294117648,306.30927835051546,246.53684210526316,419.4691358024691,319.57954545454544,341.4805194805195,546.934065934066,232.06730769230768,294.68224299065423,220.04,370.8217821782178,377.59090909090907,368.4387755102041,333.64835164835165,0.5849086666666666
20,236.0,325.8144329896907,251.54736842105262,431.04938271604937,310.3181818181818,318.3246753246753,533.5714285714286,225.6153846153846,276.1588785046729,224.12,356.18811881188117,368.9909090909091,371.16326530612247,336.1208791208791,0.6156933333333333
21,228.63529411764705,324.8144329896907,254.49473684210525,444.7283950617284,313.5113636363636,322.7012987012987,558.5714285714286,206.03846153846155,270.9252336448598,207.14666666666668,346.08910891089107,392.93636363636364,354.7142857142857,316.4175824175824,0.646478
22,223.68235294117648,310.4639175257732,249.7263157894737,458.1111111111111,311.5,316.24675324675326,548.8241758241758,230.42307692307693,296.78504672897196,207.94666666666666,345.96039603960395,377.7,365.7448979591837,319.64835164835165,0.6772626666666667
23,222.1529411764706,316.6082474226804,242.9157894736842,439.69135802469134,305.17045454545456,309.8831168831169,513.3296703296703,232.35576923076923,288.76635514018693,211.81333333333333,352.2079207920792,379.55454545454546,364.33673469387753,320.3956043956044,0.7080473333333333
24,242.48235294117646,311.3298969072165,252.3684210526316,444.8024691358025,327.15909090909093,315.961038961039,522.6923076923077,218.75,285.3738317757009,214.02666666666667,367.61386138613864,391.44545454545454,352.8469387755102,337.5934065934066,0.7388319999999999
25,224.98823529411766,315.12371134020617,252.7578947368421,467.4938271604938,311.65909090909093,285.23376623376623,513.2857142857143,221.29807692307693,285.196261682243,214.25333333333333,354.0792079207921,400.24545454545455,377.8979591836735,335.2857142857143,0.7696166666666666
26,224.6705882352941,308.92783505154637,256.46315789473687,439.87654320987656,309.2386363636364,312.53246753246754,536.2417582417582,223.23076923076923,291.5981308411215,207.97333333333333,362.3069306930693,383.04545454545456,351.2551020408163,321.54945054945057,0.8004013333333333
27,230.8235294117647,316.08247422680415,262.5684210526316,444.4567901234568,319.03409090909093,313.46753246753246,520.8131868131868,225.64423076923077,284.9906542056075,226.92,356.16831683168317,391.22727272727275,366.2040816326531,346.1758241758242,0.831186
28,205.78823529411764,291.7628865979381,250.3578947368421,441.5432098765432,303.15909090909093,320.7922077922078,519.0439560439561,219.26923076923077,281.5233644859813,205.33333333333334,349.35643564356434,383.91818181818184,334.46938775510205,316.84615384615387,0.8619706666666667
29,229.4,315.21649484536084,252.45263157894738,423.5432098765432,307.28409090909093,327.16883116883116,521.2417582417582,218.90384615384616,304.4859813084112,203.82666666666665,344.13861386138615,396.6909090909091,377.05102040816325,322.2197802197802,0.8927553333333332
30,206.0705882352941,301.4329896907216,242.94736842105263,443.6296296296296,286.7613636363636,299.35064935064935,506.34065934065933,214.7596153846154,292.66355140186914,223.48,357.44554455445547,379.92727272727274,362.1734693877551,323.9120879120879,0.9235399999999999
31,197.52941176470588,319.2474226804124,241.6315789473684,447.22222222222223,304.97727272727275,300.2597402597403,507.7802197802198,217.73076923076923,272.2803738317757,213.06666666666666,348.08910891089107,376.2181818181818,365.3673469387755,330.8791208791209,0.9543246666666666
32,214.68235294117648,319.2783505154639,236.65263157894736,454.2098765432099,309.60227272727275,317.8181818181818,521.978021978022,224.41346153846155,287.61682242990656,216.94666666666666,350.45544554455444,384.41818181818184,386.1020408163265,339.34065934065933,0.9851093333333333
33,189.6,310.8556701030928,272.05263157894734,442.641975308642,315.3636363636364,304.012987012987,535.4065934065934,209.625,282.4579439252336,204.98666666666668,363.5742574257426,364.90909090909093,347.53061224489795,334.34065934065933,1.0158939999999999
34,204.01176470588234,314.5670103092784,244.86315789473684,457.01234567901236,319.29545454545456,326.09090909090907,511.24175824175825,217.91346153846155,279.32710280373834,213.05333333333334,341.009900990099,391.0272727272727,366.1734693877551,313.43956043956047,1.0466786666666665
35,193.74117647058824,301.2886597938144,245.74736842105264,448.7283950617284,292.96590909090907,317.12987012987014,525.5494505494505,211.6346153846154,273.803738317757,225.2,346.1485148514852,381.08181818181816,345.07142857142856,325.9010989010989,1.0774633333333332
36,193.6,327.17525773195877,236.85263157894738,460.5061728395062,307.8181818181818,321.012987012987,510.7362637362637,215.92307692307693,283.30841121495325,231.04,345.71287128712873,395.8727272727273,362.8265306122449,332.0879120879121,1.108248
37,187.61176470588236,296.08247422680415,245.3684210526316,446.9012345679012,298.4431818181818,300.15584415584414,528.7252747252747,228.34615384615384,290.7289719626168,215.89333333333335,342.28712871287127,391.8454545454546,336.31632653061223,318.14285714285717,1.1390326666666666
38,185.0235294117647,290.77319587628864,239.1263157894737,450.4074074074074,304.10227272727275,325.53246753246754,493.04395604395603,217.55769230769232,278.50467289719626,207.42666666666668,340.3069306930693,406.3909090909091,360.61224489795916,307.2857142857143,1.1698173333333333
39,181.69411764705882,312.8659793814433,242.7157894736842,426.641975308642,310.5681818181818,313.3766233766234,504.75824175824175,216.8653846153846,281.9626168224299,205.10666666666665,360.1782178217822,372.06363636363636,364.35714285714283,313.25274725274727,1.200602
40,184.71764705882353,298.0,246.6,433.77777777777777,309.22727272727275,312.83116883116884,524.8131868131868,216.54807692307693,275.74766355140184,208.56,340.7524752475247,398.2090909090909,374.3061224489796,326.31868131868134,1.2313866666666666
41,187.11764705882354,310.9381443298969,236.62105263157895,438.8888888888889,287.21590909090907,310.16883116883116,494.967032967033,215.56730769230768,291.2056074766355,219.76,343.7227722772277,383.43636363636364,354.7959183673469,334.24175824175825,1.2621713333333333
42,185.24705882352941,301.77319587628864,255.09473684210528,436.4691358024691,313.10227272727275,304.14285714285717,500.5824175824176,218.33653846153845,276.06542056074767,231.02666666666667,359.1485148514852,377.5181818181818,358.53061224489795,309.97802197802196,1.292956
43,186.2,304.70103092783506,260.5578947368421,432.9012345679012,296.6136363636364,302.2077922077922,510.46153846153845,214.92307692307693,278.2056074766355,200.94666666666666,357.009900990099,408.96363636363634,367.92857142857144,317.85714285714283,1.3237406666666667
44,185.63529411764705,295.22680412371136,268.0421052631579,436.4938271604938,323.5681818181818,321.54545454545456,507.5824175824176,220.3846153846154,274.0841121495327,216.48,344.65346534653463,392.7090909090909,350.4387755102041,306.3956043956044,1.3545253333333334
45,181.1529411764706,298.55670103092785,243.3684210526316,431.9753086419753,308.09090909090907,296.5844155844156,486.34065934065933,216.09615384615384,278.69158878504675,224.69333333333333,342.0792079207921,369.26363636363635,370.0204081632653,316.989010989011,1.3853099999999998
46,193.16470588235293,297.25773195876286,242.5157894736842,440.5679012345679,298.4318181818182,291.5584415584416,492.3296703296703,199.8653846153846,276.22429906542055,229.78666666666666,327.3069306930693,387.4727272727273,384.16326530612247,315.989010989011,1.4160946666666665
47,186.96470588235294,300.55670103092785,237.46315789473684,444.14814814814815,319.875,309.84415584415586,474.1208791208791,224.83653846153845,290.61682242990656,226.24,357.0792079207921,377.6181818181818,365.03061224489795,303.14285714285717,1.4468793333333332
48,181.4470588235294,292.8041237113402,248.66315789473686,430.8395061728395,308.1818181818182,310.84415584415586,525.6263736263736,210.71153846153845,268.70093457943926,216.76,373.2970297029703,380.2090909090909,340.8469387755102,302.1208791208791,1.4776639999999999
49,183.3764705882353,293.41237113402065,249.9157894736842,441.58024691358025,315.875,316.961038961039,484.6703296703297,215.85576923076923,288.3551401869159,214.18666666666667,339.1485148514852,383.26363636363635,375.0408163265306,331.2857142857143,1.5084486666666665
50,194.12941176470588,298.4639175257732,254.9578947368421,445.9012345679012,280.10227272727275,312.5974025974026,501.0769230769231,208.65384615384616,273.196261682243,220.97333333333333,353.58415841584156,371.4818181818182,343.01020408163265,326.9340659340659,1.5392333333333332
51,180.4,317.44329896907215,242.81052631578947,424.2098765432099,310.72727272727275,304.3636363636364,513.9560439560439,213.33653846153845,288.38317757009344,223.89333333333335,362.8217821782178,374.3727272727273,358.8061224489796,312.86813186813185,1.570018
52,194.4,303.50515463917526,240.45263157894738,439.74074074074076,292.65909090909093,322.4805194805195,487.68131868131866,213.07692307692307,266.4299065420561,216.8,359.3762376237624,398.2818181818182,337.81632653061223,316.1868131868132,1.6008026666666666
