,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,time
45,138.21212121212122,242.46666666666667,219.5,839.0,959.2307692307693,912.3333333333334,721.483870967742,147.96153846153845,351.6818181818182,490.8421052631579,669.4772727272727,764.4230769230769,400.73333333333335,1.40565
46,131.24242424242425,228.73333333333332,210.69230769230768,771.1162790697674,1002.9230769230769,879.7777777777778,758.8064516129032,159.92307692307693,362.9318181818182,465.1578947368421,630.6363636363636,755.5,387.96666666666664,1.4368866666666666
47,138.06060606060606,220.83333333333334,204.53846153846155,774.1395348837209,991.9423076923077,854.6388888888889,708.5483870967741,163.26923076923077,321.97727272727275,455.10526315789474,638.1590909090909,757.5384615384615,368.6333333333333,1.4681233333333332
48,157.21212121212122,237.4,200.03846153846155,818.6511627906976,1034.423076923077,922.4444444444445,727.8709677419355,137.53846153846155,337.5,470.6578947368421,630.0454545454545,789.4615384615385,363.8333333333333,1.49936
49,143.66666666666666,208.76666666666668,225.8846153846154,767.3488372093024,997.0192307692307,860.9444444444445,751.4193548387096,149.69230769230768,308.45454545454544,475.13157894736844,642.2045454545455,776.4230769230769,366.46666666666664,1.5305966666666666
50,142.3030303030303,238.2,224.15384615384616,780.6511627906976,995.4615384615385,854.2777777777778,705.1935483870968,160.15384615384616,317.77272727272725,461.7105263157895,692.7727272727273,754.8076923076923,400.73333333333335,1.5618333333333334
51,139.3939393939394,228.96666666666667,217.0,776.4186046511628,1015.8269230769231,899.1111111111111,731.9354838709677,142.0,333.77272727272725,463.7368421052632,619.2272727272727,797.8846153846154,390.76666666666665,1.59307
52,139.96969696969697,234.83333333333334,190.34615384615384,780.5581395348837,1001.9807692307693,892.6388888888889,796.2258064516129,149.53846153846155,307.97727272727275,441.44736842105266,656.5681818181819,739.1153846153846,398.3666666666667,1.6243066666666666
53,142.45454545454547,235.33333333333334,224.3846153846154,833.7209302325581,1014.1153846153846,909.5833333333334,782.6451612903226,139.3846153846154,342.75,449.1578947368421,656.9318181818181,819.0769230769231,392.03333333333336,1.6555433333333334
54,150.3939393939394,229.9,215.6153846153846,828.9069767441861,1041.2884615384614,877.8333333333334,739.9354838709677,143.96153846153845,334.0681818181818,421.6842105263158,636.75,820.0384615384615,379.03333333333336,1.68678
55,136.66666666666666,233.13333333333333,226.46153846153845,751.4418604651163,1052.673076923077,867.9722222222222,713.2258064516129,151.8846153846154,359.15909090909093,434.07894736842104,610.2045454545455,783.7307692307693,370.43333333333334,1.7180166666666665
56,135.54545454545453,266.06666666666666,203.80769230769232,842.7674418604652,992.0192307692307,834.1666666666666,752.5483870967741,155.73076923076923,326.5,442.7105263157895,622.1136363636364,808.0384615384615,404.06666666666666,1.7492533333333333
57,133.4848484848485,236.46666666666667,192.46153846153845,816.1860465116279,999.1730769230769,866.6666666666666,713.3548387096774,139.26923076923077,343.8863636363636,490.55263157894734,619.7045454545455,744.0,388.6333333333333,1.78049
58,148.8181818181818,234.03333333333333,206.26923076923077,878.2093023255813,1010.5961538461538,834.2222222222222,708.8709677419355,140.57692307692307,328.8636363636364,468.3421052631579,617.3636363636364,786.1923076923077,389.73333333333335,1.8117266666666667
59,133.57575757575756,243.53333333333333,214.73076923076923,790.2093023255813,1076.8076923076924,855.3611111111111,756.7741935483871,134.53846153846155,320.77272727272725,458.07894736842104,624.25,829.5384615384615,383.06666666666666,1.8429633333333333
60,141.12121212121212,232.16666666666666,195.30769230769232,827.9302325581396,1038.3846153846155,843.0277777777778,715.7096774193549,144.42307692307693,315.79545454545456,451.0,639.5227272727273,862.5384615384615,350.3333333333333,1.8741999999999999
61,137.9090909090909,221.63333333333333,229.42307692307693,785.6511627906976,1001.0192307692307,841.0277777777778,749.8387096774194,139.03846153846155,329.09090909090907,431.2368421052632,606.9545454545455,788.2692307692307,390.3666666666667,1.9054366666666667
62,155.06060606060606,230.5,206.3846153846154,749.0930232558139,1050.076923076923,862.1944444444445,712.5806451612904,135.42307692307693,329.25,457.7894736842105,628.3636363636364,734.2692307692307,378.1666666666667,1.9366733333333332
63,139.3030303030303,232.1,198.73076923076923,764.1627906976744,1052.6923076923076,815.5555555555555,750.0967741935484,143.53846153846155,337.45454545454544,433.57894736842104,589.2954545454545,780.3076923076923,382.9,1.96791
