,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
33,372.2631578947368,465.6792452830189,864.4545454545455,919.7307692307693,362.0217391304348,512.4117647058823,450.26190476190476,412.7105263157895,659.9183673469388,1.0260415
34,343.63157894736844,458.5660377358491,880.1060606060606,869.4423076923077,388.80434782608694,504.7352941176471,409.4047619047619,406.0263157894737,680.734693877551,1.0571336666666666
35,375.5263157894737,469.6792452830189,899.7424242424242,853.4038461538462,350.9130434782609,545.3823529411765,429.9047619047619,397.8421052631579,676.1428571428571,1.0882258333333334
36,366.2631578947368,484.5660377358491,916.060606060606,848.0961538461538,337.2826086956522,506.8235294117647,420.6666666666667,384.2368421052632,659.2857142857143,1.119318
37,369.57894736842104,471.92452830188677,914.7272727272727,844.4038461538462,375.0217391304348,493.88235294117646,429.5,418.3157894736842,627.8367346938776,1.1504101666666666
38,360.42105263157896,464.58490566037733,947.0909090909091,855.0576923076923,362.17391304347825,493.2647058823529,405.64285714285717,364.1842105263158,619.6938775510204,1.1815023333333334
39,355.94736842105266,446.77358490566036,890.3030303030303,855.25,385.54347826086956,521.6470588235294,417.64285714285717,376.2105263157895,638.2244897959183,1.2125945
40,370.10526315789474,486.52830188679246,860.1818181818181,885.5961538461538,369.5652173913044,517.5588235294117,436.76190476190476,411.60526315789474,632.3469387755102,1.2436866666666666
41,362.5263157894737,454.24528301886795,898.3636363636364,861.1923076923077,360.95652173913044,477.1470588235294,401.6904761904762,394.6578947368421,628.8775510204082,1.2747788333333334
42,349.5,455.79245283018867,871.0151515151515,872.9038461538462,353.39130434782606,447.2647058823529,430.8333333333333,429.57894736842104,665.9387755102041,1.305871
43,342.57894736842104,490.6792452830189,883.4848484848485,862.7307692307693,389.60869565217394,495.44117647058823,452.3333333333333,357.3157894736842,617.9795918367347,1.3369631666666666
44,361.2105263157895,463.52830188679246,818.6969696969697,835.4423076923077,367.60869565217394,478.8235294117647,428.3095238095238,391.63157894736844,614.5510204081633,1.3680553333333334
45,358.89473684210526,440.92452830188677,842.4848484848485,865.5192307692307,356.8695652173913,544.0,430.57142857142856,377.6842105263158,597.7142857142857,1.3991475
46,375.3157894736842,478.2830188679245,886.3181818181819,897.6153846153846,343.8695652173913,496.8529411764706,415.8095238095238,402.7894736842105,635.7755102040817,1.4302396666666668
47,337.5,427.1320754716981,838.0454545454545,907.1923076923077,332.54347826086956,532.8235294117648,436.14285714285717,389.2894736842105,610.1428571428571,1.4613318333333334
48,324.60526315789474,451.8679245283019,866.5454545454545,866.3461538461538,368.95652173913044,512.1764705882352,425.0238095238095,368.63157894736844,620.8979591836735,1.492424
49,339.2631578947368,465.66037735849056,842.0454545454545,850.4615384615385,317.0652173913044,535.9117647058823,456.07142857142856,393.13157894736844,629.1632653061224,1.5235161666666668
50,336.3421052631579,452.1698113207547,882.2424242424242,874.4230769230769,364.2826086956522,510.1764705882353,399.07142857142856,382.7631578947368,598.5918367346939,1.5546083333333334
51,386.60526315789474,461.37735849056605,860.7878787878788,863.2692307692307,335.3478260869565,515.3823529411765,425.26190476190476,391.7631578947368,589.7142857142857,1.5857005
52,355.13157894736844,449.6792452830189,876.6515151515151,844.4807692307693,339.2391304347826,542.4705882352941,428.2857142857143,398.8157894736842,595.4285714285714,1.6167926666666668
53,356.1842105263158,457.39622641509436,860.0909090909091,893.4038461538462,359.17391304347825,484.55882352941177,406.6904761904762,390.7368421052632,579.8367346938776,1.6478848333333334
54,367.86842105263156,460.3207547169811,851.3787878787879,887.4423076923077,378.0217391304348,524.7647058823529,383.95238095238096,393.86842105263156,569.0612244897959,1.678977
55,325.60526315789474,452.0566037735849,888.0,906.5576923076923,369.6304347826087,503.1470588235294,411.5952380952381,356.05263157894734,614.7142857142857,1.7100691666666668
56,349.05263157894734,441.07547169811323,885.060606060606,844.3653846153846,338.1304347826087,515.6176470588235,398.4047619047619,397.1578947368421,617.3061224489796,1.7411613333333333
57,327.63157894736844,412.188679245283,833.060606060606,865.9807692307693,351.7608695652174,475.6470588235294,421.42857142857144,384.6578947368421,618.3061224489796,1.7722535
58,362.3421052631579,444.0188679245283,859.3181818181819,836.1153846153846,360.5,504.7647058823529,413.54761904761904,405.55263157894734,586.7142857142857,1.8033456666666667
59,345.44736842105266,485.60377358490564,807.6666666666666,837.7115384615385,355.17391304347825,498.7352941176471,413.5,382.92105263157896,598.4897959183673,1.8344378333333333
60,393.6842105263158,426.6792452830189,874.939393939394,845.1730769230769,340.19565217391306,485.3529411764706,429.6666666666667,388.42105263157896,621.9183673469388,1.8655300000000001
61,335.60526315789474,444.66037735849056,885.5757575757576,885.9807692307693,327.8695652173913,517.2941176470588,394.54761904761904,374.60526315789474,602.5918367346939,1.8966221666666667
62,336.3157894736842,432.0377358490566,886.5757575757576,886.3461538461538,362.6521739130435,492.4117647058824,430.2142857142857,395.63157894736844,647.1224489795918,1.9277143333333333
63,350.10526315789474,427.9622641509434,837.6969696969697,812.7884615384615,336.82608695652175,541.3235294117648,406.6904761904762,412.86842105263156,573.9183673469388,1.9588065000000001
64,336.55263157894734,453.9622641509434,883.2727272727273,867.3269230769231,331.39130434782606,486.52941176470586,422.1666666666667,406.86842105263156,566.469387755102,1.9898986666666667
65,325.55263157894734,454.33962264150944,849.4848484848485,839.9038461538462,331.0652173913044,479.20588235294116,411.95238095238096,380.5,589.7551020408164,2.0209908333333333
66,395.3421052631579,428.1132075471698,827.0757575757576,831.6153846153846,370.5869565217391,496.4117647058824,422.1904761904762,354.6842105263158,621.1836734693877,2.052083
67,353.63157894736844,439.52830188679246,879.3787878787879,838.3269230769231,373.1521739130435,457.70588235294116,407.3809523809524,385.36842105263156,596.204081632653,2.083175166666667
68,357.44736842105266,469.52830188679246,874.6969696969697,870.0192307692307,339.5,509.0,410.45238095238096,367.36842105263156,564.9591836734694,2.1142673333333333
69,374.86842105263156,466.8301886792453,847.9090909090909,851.4423076923077,346.04347826086956,473.55882352941177,397.76190476190476,382.0,574.1836734693877,2.1453595
70,312.86842105263156,420.8301886792453,848.6818181818181,839.75,309.2173913043478,485.2352941176471,438.76190476190476,389.2368421052632,591.5102040816327,2.176451666666667
71,352.4736842105263,446.07547169811323,856.8939393939394,836.5,324.3695652173913,483.44117647058823,395.95238095238096,384.3421052631579,579.6938775510204,2.2075438333333333
72,322.7368421052632,456.5660377358491,842.2272727272727,783.6730769230769,335.39130434782606,526.2941176470588,397.35714285714283,378.86842105263156,559.2448979591836,2.238636
73,315.0263157894737,442.3207547169811,855.7121212121212,890.6538461538462,318.0652173913044,469.6470588235294,438.8333333333333,391.55263157894734,573.9387755102041,2.269728166666667
74,328.86842105263156,436.8301886792453,849.8787878787879,798.7884615384615,314.04347826086956,496.6470588235294,436.1190476190476,398.4736842105263,559.8775510204082,2.3008203333333332
75,351.5,437.6981132075472,784.1818181818181,792.9230769230769,294.10869565217394,471.79411764705884,381.2142857142857,375.2368421052632,568.4081632653061,2.3319125
76,356.63157894736844,434.2830188679245,811.2272727272727,860.2884615384615,325.67391304347825,509.44117647058823,411.3095238095238,362.44736842105266,555.4285714285714,2.363004666666667
77,321.2368421052632,436.64150943396226,854.6666666666666,830.6538461538462,292.95652173913044,488.3235294117647,384.6666666666667,327.8421052631579,559.1836734693877,2.3940968333333332
78,345.2631578947368,422.3018867924528,859.1212121212121,815.0,330.19565217391306,465.9117647058824,376.57142857142856,336.5,562.530612244898,2.425189
79,340.94736842105266,421.1132075471698,839.8484848484849,876.0384615384615,322.5,473.97058823529414,407.0,369.42105263157896,559.530612244898,2.456281166666667
80,352.86842105263156,405.0,798.4545454545455,829.8653846153846,305.2608695652174,459.2647058823529,408.64285714285717,354.94736842105266,579.8775510204082,2.487373333333333
81,331.36842105263156,410.45283018867923,804.8181818181819,824.4807692307693,292.0869565217391,482.0882352941176,379.35714285714283,346.5263157894737,557.6122448979592,2.5184655
82,301.4736842105263,443.79245283018867,778.8181818181819,838.6538461538462,283.4130434782609,490.2352941176471,432.14285714285717,372.94736842105266,554.7755102040817,2.549557666666667
83,314.7368421052632,437.0377358490566,799.6212121212121,839.9807692307693,289.60869565217394,460.5882352941176,382.3095238095238,354.13157894736844,535.1836734693877,2.580649833333333
