,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
16,742.0,902.7837837837837,1363.9464285714287,1084.1136363636363,1278.1914893617022,1738.6136363636363,337.26666666666665,890.1666666666666,601.5555555555555,972.8709677419355,1160.658536585366,1455.622641509434,0.49577866666666665
17,769.1521739130435,980.9459459459459,1460.4107142857142,1187.25,1238.4255319148936,1765.9545454545455,332.26666666666665,856.7666666666667,632.75,973.0,1073.0975609756097,1460.698113207547,0.5267648333333333
18,770.1304347826087,897.1081081081081,1485.625,1114.1818181818182,1266.2553191489362,1724.9318181818182,318.76666666666665,839.2333333333333,637.0,924.3548387096774,1173.121951219512,1444.2830188679245,0.557751
19,729.3260869565217,880.7297297297297,1395.232142857143,1144.2954545454545,1319.531914893617,1668.2727272727273,330.06666666666666,838.1333333333333,619.8611111111111,888.741935483871,1130.219512195122,1414.0377358490566,0.5887371666666666
20,789.5869565217391,908.8918918918919,1436.2857142857142,1129.4318181818182,1282.4468085106382,1728.6363636363637,326.1666666666667,889.3,630.0277777777778,898.5806451612904,1094.2439024390244,1529.4150943396226,0.6197233333333333
21,780.3695652173913,914.2432432432432,1446.8392857142858,1166.6818181818182,1338.063829787234,1685.8863636363637,316.03333333333336,785.4333333333333,630.3055555555555,1003.9354838709677,1176.9512195121952,1497.3396226415093,0.6507094999999999
22,711.8695652173913,905.2432432432432,1435.357142857143,1144.5,1305.1063829787233,1737.5681818181818,330.6333333333333,875.3666666666667,620.4722222222222,933.741935483871,1069.9756097560976,1442.3396226415093,0.6816956666666666
23,724.4782608695652,924.3783783783783,1365.4285714285713,1155.25,1270.1914893617022,1635.090909090909,344.56666666666666,837.7,631.7222222222222,903.9032258064516,1104.1951219512196,1467.4905660377358,0.7126818333333333
24,796.5217391304348,880.5675675675676,1434.142857142857,1096.8181818181818,1320.723404255319,1718.5,341.23333333333335,848.0,649.8888888888889,948.4516129032259,1104.3658536585365,1464.4716981132076,0.743668
25,722.5652173913044,881.0,1450.5,1142.25,1300.1063829787233,1741.659090909091,319.6666666666667,846.8333333333334,611.6388888888889,874.483870967742,1141.341463414634,1441.1698113207547,0.7746541666666666
26,762.2391304347826,937.3513513513514,1459.7142857142858,1176.25,1281.6808510638298,1657.7727272727273,365.43333333333334,796.5,634.1666666666666,980.1612903225806,1088.6097560975609,1420.2075471698113,0.8056403333333333
27,740.9782608695652,929.3243243243244,1419.142857142857,1128.159090909091,1287.127659574468,1672.7272727272727,336.6,847.9666666666667,635.8055555555555,934.1935483870968,1071.9024390243903,1452.9622641509434,0.8366264999999999
28,744.9347826086956,932.2162162162163,1449.8392857142858,1145.1818181818182,1377.2978723404256,1582.659090909091,323.56666666666666,793.9666666666667,622.6388888888889,917.0,1118.4146341463415,1483.9622641509434,0.8676126666666666
29,720.804347826087,903.3513513513514,1474.5,1091.2045454545455,1311.7021276595744,1727.3863636363637,329.73333333333335,869.5333333333333,681.7777777777778,907.3225806451613,1082.780487804878,1387.2641509433963,0.8985988333333333
30,760.7826086956521,917.5945945945946,1440.0,1157.4545454545455,1388.8510638297873,1659.7954545454545,341.26666666666665,780.8333333333334,647.2222222222222,956.1935483870968,1147.9268292682927,1530.622641509434,0.929585
31,753.6304347826087,919.081081081081,1497.107142857143,1113.6363636363637,1260.595744680851,1579.0,353.9,829.4666666666667,633.0,944.3870967741935,1134.2926829268292,1499.7924528301887,0.9605711666666666
32,769.7608695652174,933.0540540540541,1455.7857142857142,1194.7272727272727,1271.7446808510638,1571.4545454545455,327.93333333333334,883.3333333333334,688.0,944.9677419354839,1135.5121951219512,1509.3962264150944,0.9915573333333333
33,740.695652173913,919.1621621621622,1411.9642857142858,1103.8636363636363,1320.4255319148936,1648.8863636363637,385.6333333333333,828.7333333333333,644.1666666666666,949.9032258064516,1181.2682926829268,1459.6603773584907,1.0225435
34,695.195652173913,889.8378378378378,1369.375,1141.5454545454545,1320.4893617021276,1632.3863636363637,362.46666666666664,798.6666666666666,630.0555555555555,913.3870967741935,1200.6829268292684,1472.622641509434,1.0535296666666667
35,747.4130434782609,852.027027027027,1447.5892857142858,1113.5681818181818,1317.936170212766,1595.6136363636363,330.6,832.2,627.2222222222222,913.483870967742,1145.5365853658536,1496.8490566037735,1.0845158333333333
36,806.0,872.4864864864865,1443.9285714285713,1195.909090909091,1321.7659574468084,1618.840909090909,379.03333333333336,810.4666666666667,634.1111111111111,868.7096774193549,1132.2439024390244,1453.8867924528302,1.115502
37,760.9130434782609,876.6216216216217,1375.1607142857142,1120.4318181818182,1290.0851063829787,1579.3181818181818,346.5,818.3333333333334,599.8611111111111,935.5806451612904,1112.4878048780488,1476.566037735849,1.1464881666666666
38,748.6304347826087,892.8108108108108,1396.0357142857142,1148.9772727272727,1335.936170212766,1654.5,335.46666666666664,792.5666666666667,593.6388888888889,872.8387096774194,1166.3170731707316,1496.698113207547,1.1774743333333333
39,751.9130434782609,884.2972972972973,1466.1607142857142,1116.3181818181818,1331.063829787234,1686.7954545454545,315.8333333333333,858.2666666666667,591.3055555555555,920.7741935483871,1123.219512195122,1454.7169811320755,1.2084605
40,759.0434782608696,918.1621621621622,1441.75,1140.4318181818182,1336.8936170212767,1667.9545454545455,350.9,818.1,612.4722222222222,890.3225806451613,1201.3658536585365,1471.301886792453,1.2394466666666666
41,751.304347826087,872.972972972973,1409.8392857142858,1134.5454545454545,1281.404255319149,1649.7727272727273,359.0,764.6,638.3888888888889,981.2903225806451,1139.0975609756097,1484.6792452830189,1.2704328333333332
42,778.7826086956521,910.1351351351351,1492.7142857142858,1096.840909090909,1252.3829787234042,1578.2954545454545,344.93333333333334,851.2333333333333,646.6666666666666,959.483870967742,1145.0731707317073,1437.2641509433963,1.3014189999999999
43,739.304347826087,892.2162162162163,1444.9642857142858,1154.8181818181818,1316.1702127659576,1663.75,362.7,801.0666666666667,666.6111111111111,888.4516129032259,1142.6097560975609,1479.7169811320755,1.3324051666666665
44,767.1086956521739,870.2162162162163,1449.7857142857142,1171.4545454545455,1329.2553191489362,1645.7045454545455,349.6333333333333,763.6,674.9722222222222,899.5806451612904,1160.8292682926829,1414.245283018868,1.3633913333333332
45,712.8695652173913,899.4864864864865,1447.875,1130.0227272727273,1281.1063829787233,1587.7954545454545,351.6,803.9666666666667,617.3055555555555,943.0645161290323,1128.5853658536585,1425.7924528301887,1.3943775
