,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,time
56,995.7631578947369,1284.7692307692307,908.175,1127.828125,1169.3714285714286,468.719298245614,1157.2790697674418,1692.05,1264.5714285714287,1.724604
57,1053.0526315789473,1186.5384615384614,947.425,1076.328125,1130.1714285714286,425.4561403508772,1166.6976744186047,1607.375,1217.857142857143,1.7554005000000001
58,1028.7368421052631,1207.5,989.625,1091.859375,1114.4,411.3333333333333,1175.7441860465117,1645.425,1184.9714285714285,1.786197
59,948.0263157894736,1229.0384615384614,905.075,1141.515625,1112.1142857142856,384.05263157894734,1217.1860465116279,1561.675,1144.2,1.8169935000000002
60,979.421052631579,1268.9615384615386,989.775,1110.328125,1141.0285714285715,415.0,1167.8837209302326,1608.45,1142.2571428571428,1.84779
61,948.5,1129.3461538461538,890.8,1098.953125,1129.3714285714286,370.140350877193,1169.4418604651162,1612.375,1241.3714285714286,1.8785865000000002
62,950.1842105263158,1263.8076923076924,939.475,1086.90625,1119.0,388.9824561403509,1235.7674418604652,1647.45,1199.4571428571428,1.909383
63,997.7368421052631,1251.5384615384614,932.275,1054.703125,1126.857142857143,389.6842105263158,1182.5813953488373,1608.4,1208.142857142857,1.9401795000000002
64,978.6578947368421,1238.923076923077,964.4,1025.34375,1162.1714285714286,378.3859649122807,1176.6976744186047,1604.125,1206.7714285714285,1.970976
65,977.9736842105264,1247.7307692307693,949.35,1048.875,1165.6285714285714,371.140350877193,1202.1162790697674,1572.675,1279.5142857142857,2.0017725
66,978.6578947368421,1214.1923076923076,971.325,1009.5,1154.2857142857142,372.57894736842104,1200.6046511627908,1658.225,1238.142857142857,2.032569
67,991.0,1198.1153846153845,884.975,1054.875,1144.2857142857142,372.0701754385965,1130.2325581395348,1558.3,1151.8857142857144,2.0633655
68,995.5526315789474,1195.3846153846155,902.875,1056.59375,1120.942857142857,352.7719298245614,1167.8837209302326,1553.35,1214.3142857142857,2.094162
69,1005.4736842105264,1293.0384615384614,980.875,1072.84375,1190.2571428571428,332.8421052631579,1198.093023255814,1619.125,1145.942857142857,2.1249585
70,972.8947368421053,1189.6923076923076,935.225,1091.5,1145.7142857142858,340.57894736842104,1226.3488372093022,1621.575,1212.1714285714286,2.155755
71,992.7105263157895,1224.8846153846155,964.075,1064.421875,1114.3714285714286,353.8421052631579,1169.7209302325582,1632.85,1202.6285714285714,2.1865515
72,902.4473684210526,1172.1153846153845,932.95,1080.734375,1116.4,341.8421052631579,1147.4651162790697,1587.175,1205.8857142857144,2.217348
73,997.9736842105264,1236.8076923076924,974.275,1066.6875,1152.4857142857143,335.10526315789474,1186.8139534883721,1577.0,1147.8857142857144,2.2481445
74,1004.0263157894736,1227.3846153846155,917.2,1008.296875,1170.2285714285715,332.43859649122805,1180.5581395348838,1553.125,1153.142857142857,2.278941
75,953.0526315789474,1234.5384615384614,939.85,1056.34375,1155.6,337.50877192982455,1254.1860465116279,1530.075,1252.142857142857,2.3097375
76,1001.1052631578947,1217.9615384615386,965.775,1058.828125,1126.0,345.859649122807,1254.5813953488373,1593.2,1126.5428571428572,2.340534
77,1000.4473684210526,1214.423076923077,913.125,1065.875,1075.4285714285713,330.94736842105266,1236.7906976744187,1564.975,1196.1714285714286,2.3713305
78,1012.1315789473684,1268.0384615384614,922.35,1035.40625,1078.4857142857143,327.96491228070175,1108.860465116279,1585.4,1162.2,2.402127
79,956.6052631578947,1163.3846153846155,931.95,1041.921875,1103.6571428571428,323.29824561403507,1204.1860465116279,1526.9,1150.8285714285714,2.4329235000000002
