,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
0,376.42857142857144,189.625,243.27118644067798,1165.7222222222222,1691.8823529411766,777.078125,703.0612244897959,0.0
1,343.32142857142856,181.77083333333334,248.94915254237287,1217.2962962962963,1688.921568627451,767.6875,679.4285714285714,0.030832833333333337
2,350.4107142857143,184.85416666666666,281.64406779661016,1240.2222222222222,1718.2941176470588,780.453125,620.1428571428571,0.061665666666666674
3,332.98214285714283,164.10416666666666,288.271186440678,1252.6296296296296,1677.9607843137255,775.828125,650.204081632653,0.09249850000000001
4,319.8392857142857,173.70833333333334,305.79661016949154,1253.0,1694.4117647058824,742.6875,656.3469387755102,0.12333133333333335
5,286.14285714285717,176.27083333333334,316.20338983050846,1282.7962962962963,1696.3725490196077,737.109375,670.6734693877551,0.15416416666666669
6,279.19642857142856,172.41666666666666,349.79661016949154,1232.0925925925926,1672.2549019607843,720.078125,649.9387755102041,0.18499700000000002
7,290.80357142857144,169.875,370.79661016949154,1345.0555555555557,1669.7058823529412,797.75,671.9387755102041,0.21582983333333336
8,267.82142857142856,168.14583333333334,403.3050847457627,1293.7222222222222,1724.3725490196077,729.578125,667.6734693877551,0.2466626666666667
9,276.05357142857144,162.85416666666666,433.7457627118644,1306.0740740740741,1650.9411764705883,755.734375,655.795918367347,0.2774955
10,253.64285714285714,164.08333333333334,434.135593220339,1335.7592592592594,1548.8039215686274,724.40625,650.0408163265306,0.30832833333333337
11,232.73214285714286,164.89583333333334,475.66101694915255,1397.037037037037,1615.3921568627452,744.828125,613.469387755102,0.33916116666666674
12,236.17857142857142,156.25,498.6271186440678,1392.5,1655.3725490196077,692.28125,636.0,0.36999400000000005
13,250.83928571428572,153.89583333333334,529.5762711864406,1338.2962962962963,1527.2549019607843,711.59375,645.1836734693877,0.40082683333333335
14,229.98214285714286,172.5,541.9830508474577,1414.0925925925926,1623.8235294117646,668.140625,654.1836734693877,0.4316596666666667
15,243.0,161.66666666666666,588.1525423728814,1354.1666666666667,1627.8431372549019,731.171875,668.2448979591836,0.4624925000000001
