,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
10,272.38461538461536,192.64102564102564,261.6938775510204,267.4634146341463,352.77142857142854,302.6666666666667,251.975,446.1951219512195,463.2295081967213,207.87037037037038,273.55555555555554,248.64285714285714,228.02272727272728,231.79591836734693,0.30749666666666664
11,304.43589743589746,195.02564102564102,268.3673469387755,258.5121951219512,319.85714285714283,314.23809523809524,248.95,425.9756097560976,544.1639344262295,222.90740740740742,279.8412698412698,243.5952380952381,215.38636363636363,215.12244897959184,0.3382463333333333
12,300.5897435897436,201.84615384615384,282.81632653061223,260.780487804878,359.0,284.0952380952381,242.375,421.9268292682927,584.9672131147541,207.5,267.3015873015873,251.3095238095238,221.11363636363637,209.9795918367347,0.368996
13,292.0769230769231,226.74358974358975,262.9591836734694,270.219512195122,345.8,281.6666666666667,237.575,467.4390243902439,666.8688524590164,199.07407407407408,268.7142857142857,236.5952380952381,222.04545454545453,219.81632653061226,0.39974566666666667
14,294.0769230769231,240.3846153846154,266.2448979591837,273.6341463414634,348.0,297.5238095238095,244.95,439.9512195121951,793.311475409836,221.7037037037037,279.44444444444446,239.73809523809524,210.4090909090909,228.75510204081633,0.4304953333333333
15,261.28205128205127,241.3846153846154,264.6326530612245,278.3658536585366,323.6,275.5238095238095,237.0,445.4146341463415,859.1147540983607,189.16666666666666,274.0952380952381,239.71428571428572,216.8181818181818,214.0204081632653,0.46124499999999996
16,270.5128205128205,260.94871794871796,268.6530612244898,290.4390243902439,332.62857142857143,305.0,235.95,509.609756097561,926.8360655737705,202.7037037037037,282.6825396825397,239.14285714285714,224.25,227.3265306122449,0.49199466666666664
17,303.8205128205128,265.2564102564103,264.2857142857143,273.0243902439024,342.42857142857144,336.0,246.225,463.390243902439,1038.655737704918,198.7037037037037,287.1904761904762,233.16666666666666,213.88636363636363,218.20408163265307,0.5227443333333333
18,296.64102564102564,292.97435897435895,269.38775510204084,286.9268292682927,324.48571428571427,294.0,235.9,428.4878048780488,1089.0,220.27777777777777,293.3015873015873,249.57142857142858,212.8409090909091,231.0,0.5534939999999999
19,307.53846153846155,274.6923076923077,264.18367346938777,271.4634146341463,353.8,295.6190476190476,258.55,462.7560975609756,1171.049180327869,208.5,268.5238095238095,215.73809523809524,256.6136363636364,213.0408163265306,0.5842436666666666
20,298.7692307692308,280.94871794871796,262.0,283.1707317073171,350.8,295.7142857142857,274.575,454.7317073170732,1216.377049180328,221.57407407407408,273.12698412698415,234.23809523809524,215.1818181818182,211.24489795918367,0.6149933333333333
21,341.15384615384613,290.56410256410254,254.83673469387756,266.4634146341463,316.4,311.42857142857144,252.125,494.9268292682927,1310.950819672131,210.1851851851852,270.968253968254,244.95238095238096,219.70454545454547,204.57142857142858,0.645743
22,302.28205128205127,273.15384615384613,281.9183673469388,254.7560975609756,315.9142857142857,334.9047619047619,266.825,425.390243902439,1303.7540983606557,204.46296296296296,258.87301587301585,250.28571428571428,239.36363636363637,221.14285714285714,0.6764926666666666
23,297.43589743589746,274.02564102564105,273.6938775510204,263.8292682926829,345.25714285714287,311.14285714285717,246.6,451.2439024390244,1371.2459016393443,206.59259259259258,269.8412698412698,244.0,216.13636363636363,226.69387755102042,0.7072423333333333
24,291.6923076923077,276.46153846153845,270.46938775510205,278.2682926829268,345.74285714285713,312.0952380952381,255.775,480.0731707317073,1423.377049180328,218.0,279.7936507936508,242.85714285714286,215.75,208.53061224489795,0.737992
25,297.5128205128205,337.0,275.3469387755102,268.3170731707317,334.65714285714284,331.0,237.3,487.8536585365854,1489.72131147541,214.8148148148148,288.46031746031747,224.73809523809524,220.63636363636363,213.73469387755102,0.7687416666666667
26,291.8205128205128,322.97435897435895,251.6734693877551,265.4390243902439,313.37142857142857,286.7142857142857,219.525,487.7317073170732,1511.1475409836066,227.33333333333334,285.8412698412698,245.83333333333334,223.02272727272728,211.3673469387755,0.7994913333333333
27,295.1025641025641,334.3076923076923,303.0204081632653,282.2926829268293,340.48571428571427,299.0,260.575,476.9024390243902,1479.8196721311476,226.05555555555554,291.22222222222223,219.0,207.75,228.3265306122449,0.8302409999999999
28,326.8974358974359,323.1794871794872,306.9387755102041,284.4146341463415,331.34285714285716,304.9047619047619,225.025,458.8536585365854,1528.639344262295,250.27777777777777,287.87301587301585,229.38095238095238,235.75,224.3673469387755,0.8609906666666666
29,307.02564102564105,297.3076923076923,303.18367346938777,265.2682926829268,342.25714285714287,308.5238095238095,238.95,458.4390243902439,1586.7540983606557,246.96296296296296,278.968253968254,256.0238095238095,241.61363636363637,222.89795918367346,0.8917403333333332
30,303.4871794871795,317.79487179487177,306.2857142857143,275.8048780487805,321.4,312.9047619047619,213.225,488.3170731707317,1566.5081967213114,273.4259259259259,282.1111111111111,235.0952380952381,234.04545454545453,207.77551020408163,0.9224899999999999
31,320.2564102564103,300.02564102564105,331.46938775510205,285.3658536585366,322.1714285714286,295.8095238095238,251.175,474.0975609756098,1571.7704918032787,315.462962962963,275.5079365079365,237.5,232.79545454545453,241.42857142857142,0.9532396666666666
32,303.12820512820514,317.56410256410254,373.51020408163265,267.2439024390244,351.51428571428573,308.76190476190476,242.525,504.8536585365854,1578.8852459016393,343.77777777777777,273.41269841269843,259.92857142857144,211.36363636363637,210.0,0.9839893333333333
33,317.0769230769231,335.87179487179486,389.59183673469386,288.4146341463415,354.0285714285714,291.0,272.55,427.7073170731707,1628.4262295081967,368.77777777777777,280.77777777777777,232.04761904761904,221.86363636363637,213.3469387755102,1.0147389999999998
34,313.4871794871795,348.3333333333333,404.1020408163265,285.1951219512195,347.2857142857143,339.3809523809524,242.6,479.5121951219512,1620.9180327868853,400.64814814814815,268.55555555555554,241.45238095238096,235.70454545454547,235.22448979591837,1.0454886666666665
35,318.79487179487177,333.2564102564103,446.0204081632653,283.1707317073171,347.8,348.7142857142857,246.775,470.0,1653.5081967213114,437.962962962963,279.2063492063492,249.78571428571428,220.63636363636363,219.40816326530611,1.0762383333333332
36,278.5897435897436,307.02564102564105,521.9387755102041,264.0487804878049,364.74285714285713,292.9047619047619,229.225,476.6585365853659,1590.8852459016393,483.0925925925926,276.5079365079365,266.23809523809524,229.9090909090909,214.10204081632654,1.1069879999999999
37,309.8205128205128,333.5128205128205,567.530612244898,291.5609756097561,333.51428571428573,299.8095238095238,255.4,463.0,1638.8032786885246,529.7592592592592,288.22222222222223,232.57142857142858,224.5909090909091,206.0612244897959,1.1377376666666665
38,316.05128205128204,306.53846153846155,613.4081632653061,287.2926829268293,320.9428571428571,292.85714285714283,239.825,470.7560975609756,1716.360655737705,573.574074074074,274.6984126984127,240.92857142857142,224.11363636363637,201.9795918367347,1.1684873333333332
39,309.3333333333333,349.4871794871795,664.5510204081633,285.2439024390244,339.45714285714286,310.6190476190476,238.575,472.4390243902439,1688.7868852459017,607.4814814814815,282.63492063492066,253.61904761904762,227.38636363636363,216.75510204081633,1.1992369999999999
40,326.79487179487177,329.56410256410254,766.7142857142857,291.6341463414634,361.1714285714286,280.14285714285717,245.8,442.1219512195122,1655.2622950819673,632.0185185185185,263.5079365079365,226.76190476190476,205.97727272727272,228.48979591836735,1.2299866666666666
41,283.35897435897436,333.4102564102564,775.9795918367347,248.5121951219512,315.65714285714284,311.95238095238096,249.875,441.8536585365854,1690.1147540983607,674.7777777777778,282.3968253968254,234.07142857142858,200.22727272727272,220.10204081632654,1.2607363333333332
42,282.0769230769231,331.87179487179486,844.469387755102,307.8780487804878,365.1714285714286,328.6666666666667,247.225,444.1707317073171,1695.377049180328,703.0185185185185,269.73015873015873,231.47619047619048,221.52272727272728,212.16326530612244,1.291486
43,312.2564102564103,331.20512820512823,872.6122448979592,266.8048780487805,361.62857142857143,298.2857142857143,255.075,459.6585365853659,1665.8196721311476,655.5925925925926,281.14285714285717,229.78571428571428,221.86363636363637,213.69387755102042,1.3222356666666666
