,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,nSyb_A4R,nSyb_A5R,nSyb_A6R,nSyb_A7R,time
49,1062.3727272727272,1434.1317829457364,1508.5826771653544,1108.2058823529412,1819.0564102564103,1773.5535307517084,1543.1221374045801,1083.284789644013,4.94313328313253
50,1090.8363636363636,1440.5348837209303,1494.8661417322835,1077.7058823529412,1781.576923076923,1771.2779043280182,1539.7837150127227,1084.8899676375404,5.044013554216868
51,1047.509090909091,1436.7751937984497,1506.259842519685,1076.4705882352941,1787.2820512820513,1754.246013667426,1542.4478371501273,1095.472491909385,5.144893825301205
52,1053.7,1399.7286821705427,1500.1181102362204,1039.1470588235295,1790.5179487179487,1771.763097949886,1556.671755725191,1079.2330097087379,5.245774096385542
53,1047.5454545454545,1414.8372093023256,1494.9606299212599,1064.0588235294117,1785.297435897436,1773.7266514806379,1546.2900763358778,1064.6245954692556,5.346654367469879
54,1043.8909090909092,1376.3178294573643,1450.9370078740158,1046.862745098039,1798.5128205128206,1762.3029612756263,1537.386768447837,1075.8673139158575,5.447534638554217
55,1001.5090909090909,1371.3953488372092,1477.5590551181103,1016.8823529411765,1804.825641025641,1757.3917995444192,1542.1832061068703,1087.957928802589,5.548414909638554
56,998.4181818181818,1401.8682170542636,1402.992125984252,1043.3921568627452,1809.0282051282052,1749.0364464692484,1545.7709923664122,1091.1715210355987,5.649295180722891
57,997.709090909091,1350.2403100775193,1473.3149606299212,1035.637254901961,1802.7666666666667,1743.731207289294,1559.1094147582696,1093.8025889967637,5.7501754518072286
58,996.7363636363636,1371.3333333333333,1474.0314960629921,1033.1176470588234,1818.5384615384614,1789.3302961275626,1530.5801526717557,1072.915857605178,5.851055722891567
59,998.9636363636364,1342.8217054263566,1422.3779527559054,1017.7745098039215,1804.7051282051282,1756.3097949886105,1528.1628498727734,1065.5760517799354,5.951935993975904
60,986.6181818181818,1313.6899224806202,1391.007874015748,994.0392156862745,1815.8128205128205,1757.3530751708429,1534.1374045801526,1084.8867313915857,6.052816265060241
61,941.5545454545454,1321.6744186046512,1389.023622047244,993.5098039215686,1810.246153846154,1774.9111617312074,1544.1908396946565,1085.8025889967637,6.153696536144579
62,953.4272727272727,1289.1007751937984,1331.4566929133857,993.8529411764706,1811.7615384615385,1763.8496583143508,1554.5979643765904,1082.284789644013,6.254576807228916
63,904.9727272727273,1290.5813953488373,1370.5826771653544,956.8627450980392,1813.5461538461539,1765.6856492027334,1530.211195928753,1080.1618122977347,6.355457078313253
64,867.9545454545455,1293.8062015503876,1372.5433070866143,979.0686274509804,1822.2948717948718,1801.6651480637813,1521.9185750636132,1069.074433656958,6.45633734939759
65,872.4272727272727,1236.2093023255813,1337.976377952756,981.1372549019608,1821.9205128205128,1768.740318906606,1524.6921119592876,1081.7508090614888,6.557217620481928
66,832.7181818181818,1217.1860465116279,1326.3700787401574,991.4117647058823,1814.9076923076923,1765.5353075170842,1541.7506361323155,1077.3980582524273,6.658097891566265
67,788.5636363636364,1201.9767441860465,1318.4173228346456,984.2254901960785,1836.2641025641026,1773.9567198177676,1518.788804071247,1068.3559870550162,6.758978162650602
68,798.8,1193.84496124031,1347.6535433070867,967.7745098039215,1824.9,1774.5808656036447,1548.9923664122136,1091.074433656958,6.8598584337349395
69,781.6454545454545,1147.3178294573643,1391.8110236220473,936.9411764705883,1834.3102564102564,1766.4419134396355,1529.5343511450383,1073.8705501618124,6.960738704819277
